Blog	four	looking	here	reports	music	until	want	how	series	wasn	service	listen	project	tech	came	saying	best	country	much	life	things	had	easy	possible	right	old	son	support	happy	time	team	sign	alone	along	love	working	allowed	such	data	years	course	didn	internet	million	quite	vote	open	future	say	take	pages	ways	going	jobs	many	wants	former	technology	being	around	world	power	her	hey	gone	certain	am	tv	th	paying	large	small	past	full	hours	social	via	company	learn	lives	states	information	its	always	found	police	really	try	major	number	self	also	play	plan	cover	set	seo	available	let	community	rules	recent	makes	couple	d	line	posted	us	points	ago	having	code	results	race	challenge	video	great	involved	tools	illegal	next	baby	process	high	doing	could	start	system	haven	face	should	hope	email	site	vs	off	less	web	government	five	does	three	details	rule	worth	above	employees	word	work	interview	after	law	order	office	then	safe	network	another	do	com	board	night	security	asking	marketing	post	months	way	dead	test	together	guy	change	extra	market	live	heard	write	remember	still	half	year	space	shows	cars	than	online	only	between	notice	article	comes	these	worry	media	real	read	early	using	benefit	business	aren	low	lot	trying	month	very	learned	ask	history	help	actually	event	since	reason	put	latest	pretty	during	x	won	probably	both	else	look	while	ready	used	game	popular	run	step	become	similar	uber	doesn	e	go	facebook	click	win	started	meet	links	including	hands	university	special	completely	florida	times	quality	privacy	need	able	based	she	state	problem	well	page	twitter	home	freedom	stories	piece	star	friends	companies	even	ever	never	met	type	tell	rights	give	quot	president	before	personal	better	weeks	went	side	content	reader	isn	features	matter	seen	seem	don	m	bad	said	against	appeared	seven	human	yes	track	super	magazine	down	form	drive	digital	weekend	daily	finally	me	did	boy	making	may	man	talk	nbsp	group	interesting	texas	earlier	where	thing	think	fast	little	anyone	eyes	were	show	enough	morning	behind	reading	across	according	those	different	pay	same	money	again	important	u	starting	children	public	airport	published	two	share	needs	coming	already	through	late	good	everyone	house	hard	idea	done	least	part	believe	build	most	services	particularly	find	blogging	point	create	understand	bill	fun	ceo	big	bit	google	often	either	use	immigration	access	others	private	f	ll	day	february	announced	south	national	taking	general	almost	thought	add	although	buy	under	every	school	street	would	phone	must	keep	end	writing	each	got	free	wanted	days	top	too	took	though	watch	report	however	news	players	quickly	several	donald	everything	head	hear	check	cool	says	goes	continue	trump	huge	happened	name	turn	place	given	white	r	any	later	federal	review	outside	come	case	myself	someone	week	without	seems	blog	legal	there	follow	thursday	program	woman	far	list	design	version	court	goal	rather	short	might	health	friday	feel	story	store	kind	nothing	his	him	recently	political	questions	question	long	called	problems	once	issues	deals	apple	few	women	something	six	instead	light	looks	related	our	york	conversation	which	who	why	local	words	job	april	perhaps	gets	whole	book	know	because	getting	own	made	whether	below	happen	allow	percent	other
	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	2	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	4	2	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	2	9	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	1	2	1	9	0	0	0	1	1	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	3	1	0	1	3	0	0	0	0	0	0	0	2	17	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6	0	0	2	0	1	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Schneier on Security	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	3	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	5	0	1	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Search Engine Roundtable	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	2	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	30	0	0	1	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	7
Copyblogger	1	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	7	11	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	22	0	0	0	0	0	0	2	3	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	2	1	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	4	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	2	0	0	0	0	0	0	0	2	3	1	1	0	0	0	0	0	0	0	0
PerezHilton	0	0	2	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	1	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	6	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	3	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
Engadget RSS Feed	0	0	3	1	0	0	1	1	1	2	1	0	0	2	0	0	3	0	0	0	1	0	0	0	4	1	0	3	0	0	2	1	1	1	0	1	0	1	2	1	1	1	1	0	1	0	0	0	2	1	0	1	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	2	3	6	0	0	0	1	5	0	0	0	0	0	0	0	0	1	2	1	1	1	0	3	1	0	2	1	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	4	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	2	0	1	0	0	1	5	0	0	1	1	1	0	0	0	0	2	1	0	1	0	0	0	0	1	4	0	0	3	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	3	2	1	1	0	0	0	0	0	0	1	0	2	0	1	2	0	0	0	1	0	1	0	1	1	1	3	7	2	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	9	1	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	2	0	0	0	1	0	0	0	3	0	0	0	2	0	2	0	0	0	1	2	0	0	0	2	0	0	1	1	1	0	0	0	2	0	5	1	0	1	0	0	0	2	0	1	1	0	1	0	0	0	2	0	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	2	1	0	2	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	1	1	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	0	2	0	1	2	0	0	0	0	1	0	0	0	0	1	1	1	2	2	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	1	0	3	1	0	1	0	0	0	0	1	0	0	1	1	1	0	2	0	0	0	0	0	1
ProBlogger	10	35	44	1	3	0	75	109	13	4	2	16	2	0	6	9	29	1	53	14	95	30	12	7	25	7	3	3	2	82	2	9	15	3	19	32	4	2	0	12	10	12	1	1	16	1	16	0	40	32	27	25	55	2	45	6	0	5	23	42	13	0	5	9	2	1	3	2	0	3	7	9	2	16	7	10	0	4	10	5	0	14	1	23	10	0	111	8	0	67	3	43	4	1	0	8	7	5	18	17	2	3	4	17	22	4	1	48	5	2	17	0	4	0	16	29	45	4	10	0	20	0	5	10	49	45	34	6	6	4	17	14	13	120	2	22	5	1	0	11	13	20	2	0	3	4	0	5	67	12	22	0	0	10	60	0	2	33	242	24	8	6	0	4	16	68	5	51	0	2	3	3	4	2	3	72	8	32	6	7	5	18	11	9	3	19	10	10	2	2	8	13	38	6	10	15	9	10	22	2	51	5	11	71	16	7	57	8	17	0	33	55	16	2	8	16	4	12	0	1	2	15	0	20	48	13	4	19	0	6	5	3	3	7	0	22	0	74	103	25	2	8	5	25	0	6	0	1	2	0	27	7	0	41	23	5	13	0	3	81	68	2	15	6	1	11	0	4	2	26	10	7	3	24	3	1	43	0	0	26	4	4	5	3	3	85	5	5	5	2	23	2	62	65	3	16	2	24	14	2	8	4	1	2	29	5	1	18	4	3	0	83	35	0	10	23	2	43	0	27	11	0	4	51	69	104	5	56	12	1	29	43	14	7	6	28	2	0	99	26	1	7	14	35	14	0	9	0	3	1	7	22	21	6	15	14	21	1	39	6	5	9	10	19	7	16	3	13	43	0	27	48	22	10	21	5	0	3	0	16	59	28	18	4	50	0	6	2	0	0	58	73	0	1	1	1	7	3	8	10	12	0	8	1	28	22	1	75	8	1	15	16	19	11	81	7	13	18	8	16	3	4	3	0	1	1	0	4	2	0	7	7	7	5	3	4	4	3	0	0	3	5	6	15	4	1	0	33	6	0	93	1	23	5	10	28	32	8	0	103	0	165	2	0	0	2	1	7	4	2	0	2	4	6	71	3	1	8	6	4	13	4	11	10	5	0	18	14	12	16	1	16	2	0	0	17	0	90	6	1	2	2	8	123	1	4	42	86	15	4	3	12	0	16	6	15	0	56	67	36	30	6	20	6	3	3	0	71
mezzoblue	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	1	0	0	0	3	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ShoeMoney	0	0	4	0	0	1	2	11	0	1	0	0	0	0	1	0	2	0	2	1	2	2	2	0	0	1	0	0	1	9	0	0	0	0	0	1	0	0	0	1	1	0	5	0	1	0	0	0	1	0	0	5	2	0	2	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	2	0	2	0	2	1	0	0	0	2	0	1	0	3	0	0	0	0	3	0	0	0	0	8	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	1	5	2	0	1	0	3	1	6	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	4	0	0	0	2	0	5	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	5	1	0	0	0	0	1	1	2	3	0	0	0	0	5	0	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	5	0	2	0	0	0	2	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	1	3	0	0	0	0	0	1	2	2	0	0	1	0	3	0	2	2	3	0	0	1	0	2	0	1	0	2	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	3	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	2	2	0	0	0	1	1	0	2	0	0	0	5	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	3	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	2	1	0	0	1	2	0	1	2	1	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	1	1	2	0	1	4	0	5	0	0	0	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	2	0	2	0	1	0	0	0	1	0	0	3	3	2	0	0	2	0	0	0	0	2	1	1	1	3	3	2	0	1	0	0	2
Slashdot	1	0	2	6	0	2	1	4	0	1	0	0	0	2	0	1	1	0	1	0	0	3	0	0	8	0	1	0	0	0	0	2	0	2	0	2	0	3	11	5	1	1	2	8	0	2	1	1	1	5	0	1	0	2	2	4	1	7	0	3	7	0	0	0	0	2	0	5	1	0	1	0	0	3	1	2	2	9	1	0	0	4	16	0	1	7	0	1	2	0	0	3	3	2	0	1	0	2	0	0	1	1	0	0	2	0	1	2	0	3	2	4	2	0	1	2	1	0	0	0	0	0	0	2	0	2	0	1	0	2	0	0	1	0	1	1	0	3	0	3	2	2	1	7	6	0	0	0	0	0	3	1	2	0	4	2	0	0	1	0	1	0	10	0	0	0	1	1	0	1	0	0	3	0	2	1	0	0	0	2	1	3	0	0	0	8	3	4	1	0	2	2	1	1	0	1	15	3	4	2	1	0	4	0	1	1	0	1	0	0	0	0	0	4	1	2	1	0	0	0	1	1	1	1	1	3	0	5	1	0	1	0	1	3	0	2	0	1	2	0	0	0	3	0	1	0	1	1	0	0	0	2	7	1	0	4	0	2	0	2	0	1	3	0	0	0	0	0	2	7	2	2	0	8	0	0	1	0	0	3	1	1	1	0	0	0	5	1	2	0	2	0	1	0	0	6	4	1	0	3	0	0	0	0	1	2	6	2	0	0	0	0	2	0	1	1	0	1	0	4	0	2	1	2	0	0	2	1	1	0	8	1	2	0	2	0	0	7	2	3	0	0	1	0	0	3	0	0	3	7	2	0	4	0	0	1	0	0	1	2	1	0	2	0	1	2	3	0	5	2	0	1	0	0	0	0	4	0	0	2	2	5	0	2	0	0	2	0	2	0	0	2	1	0	0	0	1	0	1	1	0	0	0	1	2	0	1	10	3	0	1	4	0	3	0	0	0	5	0	2	2	3	0	13	2	1	0	1	3	0	0	0	1	0	0	3	0	1	0	1	0	1	0	1	0	0	1	1	1	3	2	2	1	2	0	0	3	3	0	0	1	3	0	2	1	0	0	0	0	0	6	3	0	0	0	1	2	0	15	0	0	0	6	2	0	0	0	2	1	4	0	3	0	0	6	1	0	0	0	0	0	0	1	2	2	0	11	4	0	0	0	2	1	0	1	0	0	1	5	1	9	1	2	0	0	2	4	9
